"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Nov 09 07:09:50 GMT 2023","Thu Nov 09 07:09:55 GMT 2023","4553","","Plotly Assessment","","","","Verify user is able to click on company and about us",""
"passed","Thu Nov 09 07:10:37 GMT 2023","Thu Nov 09 07:10:44 GMT 2023","6672","","Plotly Assessment","","","","User is able to click on “Product”, then “Smart Orchestration”, then scroll down to “Test Analytics” and see that the green circle is around “Test Analytics”",""
"passed","Thu Nov 09 07:09:38 GMT 2023","Thu Nov 09 07:09:50 GMT 2023","11505","","Plotly Assessment","","","","Verify users are able to visit the website and able to scroll down to ""Loved by OSS""",""
"passed","Thu Nov 09 07:10:28 GMT 2023","Thu Nov 09 07:10:37 GMT 2023","8427","","Plotly Assessment","","","","User is able to click on “Product” and then “visual review”",""
"failed","Thu Nov 09 07:09:55 GMT 2023","Thu Nov 09 07:10:28 GMT 2023","33627","","Plotly Assessment","","","","User is able to click on “Install” and then on “npm install cypress” and make sure the copied text is “npm install cypress --save-dev”",""
