"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Nov 09 07:09:52 GMT 2023","Thu Nov 09 07:09:54 GMT 2023","1307","","Plotly Assessment","","","","User is able to click on “Install” and then on “npm install cypress” and make sure the copied text is “npm install cypress --save-dev”",""
"passed","Thu Nov 09 07:09:50 GMT 2023","Thu Nov 09 07:09:52 GMT 2023","2149","","Plotly Assessment","","","","Verify user is able to click on company and about us",""
"failed","Thu Nov 09 07:09:54 GMT 2023","Thu Nov 09 07:09:54 GMT 2023","513","","Plotly Assessment","","","","User is able to click on “Product” and then “visual review”",""
"passed","Thu Nov 09 07:09:44 GMT 2023","Thu Nov 09 07:09:50 GMT 2023","6352","","Plotly Assessment","","","","Verify users are able to visit the website and able to scroll down to ""Loved by OSS""",""
"passed","Thu Nov 09 07:09:54 GMT 2023","Thu Nov 09 07:09:57 GMT 2023","3071","","Plotly Assessment","","","","User is able to click on “Product”, then “Smart Orchestration”, then scroll down to “Test Analytics” and see that the green circle is around “Test Analytics”",""
